Date;Open;High;Low;Close;Volume_Bitcoin;Volume_Currency;Weighted_Price
31.12.2011;4.39;4.58;4.39;4.58;95.32;425.32;4.46
30.12.2011;4.26;4.5;4.21;4.21;56.74;240.14;4.23
29.12.2011;4.3;4.5;4.3;4.5;36.56;158.98;4.35
28.12.2011;4.29;4.3;4.25;4.3;35.55;151.72;4.27
27.12.2011;4.33;4.33;4.29;4.29;58.07;250.34;4.31
26.12.2011;4.27;4.33;4.27;4.33;56.74;243.74;4.3
25.12.2011;4.32;4.32;4.27;4.27;24.18;104.08;4.3
24.12.2011;4.33;4.33;4.33;4.33;27.22;117.88;4.33
23.12.2011;3.86;4.35;3.84;4.22;149.49;625.81;4.19
22.12.2011;4.19;4.19;4.17;4.17;8.54;35.71;4.18
21.12.2011;4.38;4.38;4.38;4.38;20.9;91.54;4.38
20.12.2011;4.75;4.75;4.53;4.55;94.74;432.98;4.57
19.12.2011;3.5;3.98;3.5;3.85;134.73;513.29;3.81
18.12.2011;3.25;3.5;3.25;3.5;17.24;58.59;3.4
17.12.2011;0;0;0;0;0;0;0
16.12.2011;3.25;3.5;3.25;3.44;84.61;291.12;3.44
15.12.2011;3.39;3.45;3.39;3.45;102.74;352.96;3.44
14.12.2011;3.42;3.49;3.42;3.47;90.76;312.38;3.44
13.12.2011;3.25;3.59;3.25;3.56;66.15;228.23;3.45
12.12.2011;3.37;3.6;3.37;3.48;75.62;265.34;3.51
11.12.2011;3.17;3.37;3.17;3.27;157.78;517.14;3.28
10.12.2011;3.2;3.2;3;3.2;12.28;38.31;3.12
09.12.2011;0;0;0;0;0;0;0
08.12.2011;3.27;3.5;2.95;3.3;115.72;366.56;3.17
07.12.2011;3.05;3.35;3.05;3.3;233.21;746.12;3.2
06.12.2011;2.9;3.25;2.89;2.98;216.11;659.73;3.05
05.12.2011;2.82;2.99;2.82;2.93;207.36;612.08;2.95
04.12.2011;0;0;0;0;0;0;0
03.12.2011;2.93;2.93;2.93;2.93;0.5;1.47;2.93
02.12.2011;3.45;3.45;3.04;3.04;131.76;414.65;3.15
01.12.2011;3.46;3.48;3.3;3.42;233.78;805.79;3.45
30.11.2011;3.19;3.19;3.19;3.19;14.54;46.38;3.19
29.11.2011;2.69;3.23;2.69;2.72;62.46;173.27;2.77
28.11.2011;2.67;2.78;2.66;2.66;180.37;486.85;2.7
27.11.2011;0;0;0;0;0;0;0
26.11.2011;2.77;2.77;2.77;2.77;10.09;27.95;2.77
25.11.2011;2.5;15;2.5;2.75;179.79;566.88;3.15
24.11.2011;2.54;3;2.54;3;9.14;26.25;2.87
23.11.2011;0;0;0;0;0;0;0
22.11.2011;2.53;2.59;2.46;2.59;328.49;811.14;2.47
21.11.2011;2.45;3;2.25;2.25;290.53;707.52;2.44
20.11.2011;2.37;2.37;2.37;2.37;11;26.07;2.37
