Date;Open;High;Low;Close;Volume_Bitcoin;Volume_Currency;Weighted_Price
31.12.2014;311.1;321;310.69;321;6338.2;2002286.39;315.91
30.12.2014;313.36;316.77;310;311.07;8885.66;2777323.39;312.56
29.12.2014;317.64;320.14;310.26;313.01;6929.63;2179989.77;314.59
28.12.2014;316.48;319.56;311.22;317.64;4121.08;1299017.98;315.21
27.12.2014;329.31;329.31;311.63;316.47;8687.54;2761873.31;317.91
26.12.2014;319.85;332;316.64;328.27;6406.26;2086629.69;325.72
25.12.2014;323.03;323.72;316.63;319.86;3888.25;1242750.87;319.62
24.12.2014;336.9;336.9;320.92;323.06;5884.88;1936038.28;328.99
23.12.2014;332.52;338.99;327.49;336.92;7679.77;2563296.1;333.77
22.12.2014;320.88;333.99;319.9;331.56;11812.77;3877621.72;328.26
21.12.2014;331.77;332.31;318.78;320.01;6358.08;2062985.83;324.47
20.12.2014;318.58;333;316.52;331.79;11378.89;3695215.83;324.74
19.12.2014;312.65;320;307.11;318.33;15995.62;5011565.29;313.31
18.12.2014;321.96;325.61;304.99;312.67;21603.61;6776835.33;313.69
17.12.2014;329.05;335.99;315.23;322;22891.99;7391844.78;322.9
16.12.2014;348.85;349.35;327.34;329.05;18183.37;6139498.87;337.64
15.12.2014;357.3;357.3;346.21;349;8092.84;2839870.56;350.91
14.12.2014;351.67;359.3;347.44;356.52;6538.89;2314586.51;353.97
13.12.2014;353.33;354.41;347.03;351.67;3845.24;1346557.26;350.19
12.12.2014;348.88;358.59;348;352.24;8079.63;2860769.86;354.07
11.12.2014;345.22;364.43;339.8;348.9;16159.75;5712842.58;353.52
10.12.2014;352.02;353.74;345;345.21;6964.19;2437132.72;349.95
09.12.2014;362.74;364.59;343.97;352.03;19034.12;6685314.68;351.23
08.12.2014;376.03;377.26;359.01;361.3;12336.73;4528582.67;367.08
07.12.2014;375.05;377.5;373.16;377.26;2490.67;936741.11;376.1
06.12.2014;376;376.99;371.31;374.38;2386.13;894008.23;374.67
05.12.2014;369.89;377.89;365.61;376;8600.51;3203112.92;372.43
04.12.2014;376.61;378.99;360;369.16;12332.87;4546438.85;368.64
03.12.2014;379.52;383;374.01;375.33;8457.23;3204081.61;378.86
02.12.2014;376.53;382.86;375.23;379.52;6550.78;2487514.4;379.73
01.12.2014;376.09;382.31;373.03;376.53;6937.82;2625160.48;378.38
30.11.2014;375.48;381.99;373.32;377.01;3085.3;1160359.59;376.09
29.11.2014;376;386.6;372.25;375.49;7252.09;2748569.58;379
28.11.2014;369.98;381.34;358;376.86;13791.87;5100953.84;369.85
27.11.2014;368.5;375.33;366.37;369.98;6218.39;2307892.38;371.14
26.11.2014;377.05;379.22;363.38;368.5;13021.29;4825575.61;370.59
25.11.2014;375.99;395.11;374.31;377.37;16156.7;6195698.42;383.48
24.11.2014;367.17;389.99;366.67;375.99;19079.68;7206180.92;377.69
23.11.2014;354.29;373.5;353.01;367.17;7971.85;2896321.8;363.32
22.11.2014;351.19;365.93;350.7;353.12;6705.7;2407839.64;359.07
21.11.2014;356.47;358.49;342.05;351.2;15248.89;5360658.51;351.54
20.11.2014;379.04;381.8;351.8;356.47;16380.89;5954791.02;363.52
19.11.2014;374.87;386.39;371.7;379.03;8984.98;3409337.03;379.45
18.11.2014;388.72;394.64;371;374.88;15205.26;5772940.69;379.67
17.11.2014;389.86;415;375;387.69;24309.44;9628351.64;396.07
16.11.2014;376.97;395;375;389.86;9680.49;3730346.79;385.35
15.11.2014;399.97;407.22;369;376.99;14428.77;5525789.76;382.97
14.11.2014;417.85;420.3;382.95;399.98;21657.71;8618642.12;397.95
13.11.2014;426.64;453.92;381.55;420.93;49884.51;20957839.48;420.13
12.11.2014;370.09;434.8;369.85;426.63;44040.4;17871040.73;405.79
11.11.2014;366.43;371.52;360.28;370.65;7702.42;2822907.46;366.5
10.11.2014;365.37;377.77;357.3;366.43;19273.07;7115956.19;369.22
09.11.2014;346.19;366.35;343.4;364.77;10537.16;3748470.55;355.74
08.11.2014;342.16;347.75;340.6;345.39;3771.03;1296519.14;343.81
07.11.2014;349.99;352.15;340.4;342.16;7243.13;2499064.58;345.03
06.11.2014;338.37;353.1;336.27;349.99;14288.8;4939529.96;345.69
05.11.2014;329.96;344.17;328.8;338.38;15373.4;5203136.77;338.45
04.11.2014;326.45;332.9;320;330.22;13703.08;4480851.92;327
03.11.2014;324.23;333.99;322.74;325.5;11276.27;3708999.25;328.92
02.11.2014;324.55;329;318.24;324.36;8335.42;2697712.84;323.64
01.11.2014;337.99;339.47;316.61;324.7;14970.56;4891060.62;326.71
31.10.2014;346.14;347.96;335.5;337.99;7525.76;2571089.05;341.64
30.10.2014;336.37;352.83;332.99;346.14;14119.77;4823949.01;341.65
29.10.2014;355.71;355.99;333.33;335.7;13256.25;4558124.58;343.85
28.10.2014;351.03;359.5;350.09;356.96;7003.94;2485148.16;354.82
27.10.2014;355.19;358.65;349.21;350;9540.67;3372977.31;353.54
26.10.2014;348.69;363;344.5;355.18;7916.85;2808265.59;354.72
25.10.2014;358.78;359.1;341.22;348.69;11095.8;3868670.43;348.66
24.10.2014;356.81;363.71;344.34;358.86;15639.5;5565360.68;355.85
23.10.2014;382.05;384.55;352.4;357.18;21058.44;7714260.5;366.33
22.10.2014;385.79;388.87;380;382.04;8315.65;3194707.83;384.18
21.10.2014;381;393.55;378.98;385.81;7953.32;3078104.39;387.02
20.10.2014;389.06;390.65;376.2;381.21;12081.8;4614453.83;381.93
19.10.2014;390.59;394.25;385;387.53;3242.37;1262682.95;389.43
18.10.2014;383.2;397.29;377;390.58;7074.83;2746148.31;388.16
17.10.2014;384.19;386;370.96;383.65;10507.83;3989422.01;379.66
16.10.2014;394.52;399;370.1;383.95;22776.52;8706162.34;382.24
15.10.2014;402.01;404.32;385.92;394.52;19147.69;7537826.81;393.67
14.10.2014;392.99;417.99;390.48;403.38;24822.16;10060958.36;405.32
13.10.2014;378.48;405;368.07;392.6;26083.75;10034403.05;384.7
12.10.2014;362.77;383.6;354.71;378.11;14250.47;5236990.63;367.5
11.10.2014;360.85;368.06;352.1;362;9973.27;3594481.7;360.41
10.10.2014;364.01;380.08;351.1;360.89;20543.28;7440721.95;362.2
09.10.2014;355.73;395.55;349;364.01;47817.25;17652425.76;369.16
08.10.2014;334.8;359;326.93;355.73;28614.83;9820002.28;343.18
07.10.2014;328.56;336.99;312.37;334.8;22961.89;7504310.03;326.82
06.10.2014;322.82;347;295.89;328.59;69537.66;21937271.11;315.47
05.10.2014;326.24;339.43;275;323.52;61726.37;18876496.11;305.81
04.10.2014;358.71;365.07;322.04;326.21;28981.8;9853710.28;340
03.10.2014;376.29;378.11;353.75;358.74;20408.98;7433824.48;364.24
02.10.2014;384.85;385.82;372;374.68;10414.2;3931402.94;377.5
01.10.2014;389.56;393.79;377.01;384.86;13037.6;5010051.92;384.28
30.09.2014;374.17;397.75;371.8;391.09;14289.96;5491849.49;384.32
29.09.2014;375.35;386.03;365.2;374.2;20026.51;7549530.11;376.98
28.09.2014;399.16;403.99;368.9;375.35;16139.76;6202488.22;384.3
27.09.2014;405.08;408.99;396.57;401.77;5472.6;2200884.45;402.16
26.09.2014;410;414.35;396.53;403.57;9921.12;4017440.74;404.94
25.09.2014;423.57;423.9;400;408.76;15016.87;6175837.43;411.26
24.09.2014;440.85;441.78;418.83;423.68;14141.2;6065026.3;428.89
23.09.2014;399.77;452.67;393.6;438.97;26999.29;11528951.84;427.01
22.09.2014;400.77;409.38;396.26;400.07;10803.02;4343178.86;402.03
21.09.2014;410.92;413.53;390;399.55;14182.72;5699758.88;401.88
20.09.2014;395.86;431.11;390;408.76;19916.52;8244622.53;413.96
19.09.2014;426.62;429;378.78;395.86;29732.72;11879961.74;399.56
18.09.2014;452.99;452.99;407.94;425;22063.88;9472956.02;429.34
17.09.2014;463.48;465.57;443.57;452.09;12477.77;5662482.54;453.81
16.09.2014;469.47;473.69;462;462.02;5948.76;2784518.14;468.08
15.09.2014;475.47;479.62;467.76;469.47;6221.85;2950421.25;474.2
14.09.2014;477.99;481.58;473.59;475.49;3884.68;1854630.02;477.42
13.09.2014;473.08;480.13;467.43;477.98;5828.26;2778187.23;476.67
12.09.2014;477.43;478;462;474.62;6097.71;2866018.95;470.02
11.09.2014;477.78;480;465;475.9;7936.73;3760607.15;473.82
10.09.2014;473.34;492;473.32;476.57;11509.59;5550004.17;482.21
09.09.2014;468.32;476.4;459.18;473.2;9121.83;4264939.07;467.55
08.09.2014;477.4;478.39;456.3;468.33;14567.96;6827728.89;468.68
07.09.2014;479.99;483;474.95;475.43;2858.65;1370027.77;479.26
