Date;Open;High;Low;Close;Volume_Bitcoin;Volume_Currency;Weighted_Price
31.12.2015;426.09;433.89;419.99;430.89;6634.86;2833319.7;427.04
30.12.2015;431.7;434.97;420.75;425.84;7717.51;3315825.43;429.65
29.12.2015;420.81;433.33;418.55;431.82;10419.59;4444308.02;426.53
28.12.2015;421.78;429.86;417.01;421.46;7560.56;3204101.79;423.79
27.12.2015;417.11;425.42;410.5;421.76;6968.57;2921475.22;419.24
26.12.2015;455.5;457.45;407.25;417.39;26672.12;11386692.92;426.91
25.12.2015;455.78;458.33;448;455.51;2877.17;1304947.59;453.55
24.12.2015;443.01;459.54;443.01;455;10138.32;4598655.92;453.59
23.12.2015;435.65;445.52;434.43;442.56;7100.23;3125137.43;440.15
22.12.2015;438.14;443.58;433.06;435.48;8146.02;3563201.26;437.42
21.12.2015;442.47;450;425.52;438.07;18930.86;8257540.79;436.19
20.12.2015;461.89;462;433.83;442.54;16626.49;7430072.73;446.88
19.12.2015;463.7;465.9;452.03;461.8;6839.18;3156242.38;461.49
18.12.2015;455.37;466.64;453.5;462.46;12914.74;5937708.34;459.76
17.12.2015;455.61;458.84;448.75;456.17;6598.64;3000514.42;454.72
16.12.2015;464.53;465;436.89;455.87;23377.12;10627485.43;454.61
15.12.2015;443.3;464.99;442.94;464.53;18096.39;8237602.55;455.21
14.12.2015;433.13;448.12;428.42;443.36;13386.74;5908604.6;441.38
13.12.2015;436.08;442.97;422.03;433.07;11725.67;5101509.33;435.07
12.12.2015;453.12;467.8;403;436.19;29770.28;12875519.54;432.5
11.12.2015;415.57;454.48;415.13;453.04;29020.2;12715568.6;438.16
10.12.2015;416.69;419.79;408.91;415.57;8463.88;3514699.25;415.26
09.12.2015;416.67;424.95;400;416.98;21039.91;8726381.89;414.75
08.12.2015;395.57;418.87;388.33;417.89;11455.14;4567280.01;398.71
07.12.2015;388.54;399.91;381.01;395.57;14949.59;5868357.23;392.54
06.12.2015;388;399.85;383;388.24;14679.44;5754540.49;392.01
05.12.2015;363.62;389.89;363;388;16784.13;6338715.4;377.66
04.12.2015;361.48;364.3;355.92;363.62;9989.28;3596927.2;360.08
03.12.2015;359.11;370.53;356.21;361.42;12190.88;4423950.84;362.89
02.12.2015;362.7;362.84;348.64;358.89;12343.41;4390062.73;355.66
01.12.2015;376.7;379;354.56;363.06;15410.28;5617537.15;364.53
30.11.2015;371.2;383;367.11;376.71;18097.95;6809125.6;376.24
29.11.2015;356.78;373.15;354.45;371.48;7817.18;2854062.8;365.1
28.11.2015;357.42;359.44;350.41;356.95;6275.37;2225597.7;354.66
27.11.2015;353.9;364.8;347.84;357.14;13276.83;4753695.23;358.04
26.11.2015;328.9;369.7;328.53;353.21;35986.16;12574100.16;349.41
25.11.2015;319.7;330.84;316;328.9;12253.76;3964830.34;323.56
24.11.2015;323.48;323.5;317;319.7;8649.02;2774792.55;320.82
23.11.2015;324.2;326.09;320.39;323.48;5101.56;1649850.44;323.4
