Date;Open;High;Low;Close;Volume_Bitcoin;Volume_Currency;Weighted_Price
31.12.2013;736.51;739;709;732;7919.32;5763630.73;727.79
30.12.2013;728.01;740;722.81;736.51;6600.24;4845439.25;734.13
29.12.2013;715;732;703.45;728;8121.31;5826581.69;717.44
28.12.2013;723.98;736.01;682.22;715;13385.19;9603991.13;717.51
27.12.2013;747.83;762.1;702.26;721.08;16261.66;11826312.73;727.25
26.12.2013;679.01;764.32;677.57;747;28028.64;20282421.92;723.63
25.12.2013;653.57;681.24;636.99;679.01;6653.01;4396958.7;660.9
24.12.2013;654.76;668.8;628.11;652.99;12795.8;8297360.84;648.44
23.12.2013;612.66;665;607.77;654.76;13100.16;8341248.23;636.73
22.12.2013;595.07;690;575.61;612.66;17673.23;11228765.44;635.35
21.12.2013;610;648.88;550;595.03;19218.17;11533044.78;600.11
20.12.2013;685.1;719.97;570;610;40959.74;26720103.7;652.35
19.12.2013;520;700;492.91;685;56734.11;35307986.6;622.34
18.12.2013;675;680.7;382.21;520;137070.18;72340781.12;527.76
17.12.2013;690.5;750;612.51;673.62;43034.03;29259655.78;679.92
16.12.2013;861.98;864;651.34;691;58806.7;42965517.31;730.62
15.12.2013;850.78;869.98;803.51;862;11638;9757006.65;838.37
14.12.2013;888.47;895;841.01;850.78;7426.55;6389855.36;860.41
13.12.2013;871.22;920.42;850;885.98;14766.95;13039090.39;882.99
12.12.2013;879.04;898.9;832.01;871.22;13973.52;12057068.09;862.85
11.12.2013;979.07;988;804;879.04;31708.38;28233929.45;890.42
10.12.2013;899.91;989.6;895.01;979.23;22694.68;21368342.56;941.56
09.12.2013;787;899.99;766.66;899.9;28510.04;24732146.89;867.49
08.12.2013;693.3;797;651;787;27465.08;20123346.8;732.69
07.12.2013;809.72;844;542.38;693.3;79852.42;56441847.09;706.83
06.12.2013;1020.51;1033.13;796.73;814.91;52688.66;47122565.45;894.36
05.12.2013;1135;1138.58;848.42;1023.87;55262.66;53884378.32;975.06
04.12.2013;1055;1153.27;1052.1;1132.01;14433.51;16043748.47;1111.56
03.12.2013;1037.11;1088;1000;1055;12567.59;13203131.1;1050.57
02.12.2013;955;1057;925.16;1047.47;31516.73;31532295.81;1000.49
01.12.2013;1119.52;1123.11;795.6;955;61544.38;58200765.26;945.67
30.11.2013;1131.99;1163;1080;1119.52;12907.56;14615036.92;1132.29
29.11.2013;1012;1141;988.22;1131.99;21873.31;23302931.99;1065.36
28.11.2013;963.98;1050.18;931;1012.98;36898.59;36845640.48;998.56
27.11.2013;915.01;969;879.99;963.98;30325.53;28417752.64;937.09
26.11.2013;811.95;919;801;916.3;29793.03;25303731.28;849.32
25.11.2013;800.01;838.2;770.1;817.88;23042.05;18613262.58;807.8
24.11.2013;829.15;842.78;747;800.05;20130.69;16005407.91;795.08
23.11.2013;794;874.81;785;829.15;20338.86;16939266.44;832.85
22.11.2013;720;799.8;683.2;795;25125.13;18684196.02;743.65
21.11.2013;600;730;580.37;720;30720.73;20465236.22;666.17
20.11.2013;536.01;619;440;599;57711.51;31281411.68;542.03
19.11.2013;669;755;378;536.01;71560.95;42781180.46;597.83
18.11.2013;478.1;669.55;471.23;669.01;57089.08;31381658.85;549.7
17.11.2013;434.53;480;434.53;477.38;25991.6;12023172.92;462.58
16.11.2013;412.07;447.47;406.92;434.53;17983.46;7793030.61;433.34
15.11.2013;416.88;431.36;390;412;32323.21;13499273.23;417.63
14.11.2013;393.5;421.97;381;416.95;31638.48;12964568.34;409.77
13.11.2013;354.94;399.89;354.94;393.5;38689.8;14659881.49;378.91
12.11.2013;343.63;357;340.01;354.96;19748.28;6921644.43;350.49
11.11.2013;323;349.9;310.1;343.91;26943.38;9015515.23;334.61
10.11.2013;341.24;341.24;265.01;323;67237.41;20149735.56;299.68
09.11.2013;333.9;363.65;298.95;341.24;44361.21;15025763.08;338.71
08.11.2013;291;334.45;288.81;334;40186.16;12776887.1;317.94
07.11.2013;263.24;297.8;263.24;291;49703.85;14082029.35;283.32
06.11.2013;242.9;265;241.11;263.24;40026.71;10223187.03;255.41
05.11.2013;227.29;250.79;226;242.9;42583.7;10150722.39;238.37
04.11.2013;210;230.4;207.22;226.83;28261.79;6231108.01;220.48
03.11.2013;204.86;210;203.51;210;11227.96;2318517.97;206.49
02.11.2013;202.14;205.15;201.2;204.86;6600.1;1347852.01;204.22
01.11.2013;203.54;203.54;200.23;202.15;4962.81;1005501.89;202.61
31.10.2013;197.58;203.75;195.1;203.54;13741.49;2753814.52;200.4
30.10.2013;204;206;195;197.54;25494.15;5125567.01;201.05
29.10.2013;196.62;205;195.32;204.69;16744.51;3351774.65;200.17
28.10.2013;194.99;197.5;190.8;196.62;12248.66;2386611.42;194.85
27.10.2013;180.39;195;179.5;194;10095.57;1905642.76;188.76
26.10.2013;187.5;190;177;179.56;9644.32;1756970.53;182.18
25.10.2013;194;194;167.67;186.6;32779.54;5880692.28;179.4
24.10.2013;203.94;206.6;156.2;193.87;55593.93;10335518.32;185.91
