Date;Open;High;Low;Close;Volume_Bitcoin;Volume_Currency;Weighted_Price
27.07.2016;651.22;659.98;646.31;653.48;2664.94;1742046.06;653.69
26.07.2016;655;656.94;645.01;651.24;3552.83;2311378.91;650.57
25.07.2016;659.64;661.99;652.28;654.96;2441.94;1600627.63;655.47
24.07.2016;655.52;665;651.99;661.47;1427.98;939586.01;657.98
23.07.2016;647.88;656.77;646;655.52;1284.52;838038.6;652.41
22.07.2016;663.25;666.3;645;649.95;5191.56;3407485.36;656.35
21.07.2016;667.01;667.1;660.1;663.99;2503.04;1661238.41;663.69
20.07.2016;674.8;675;660;667.03;3418.63;2282261.38;667.6
19.07.2016;673.45;675.81;666;673.48;1904.43;1278189.69;671.16
18.07.2016;679.54;682.21;666.12;672.1;3012.21;2037381.51;676.38
17.07.2016;662.45;684.19;661.35;679.54;3437.77;2320473.32;674.99
16.07.2016;664.6;666.67;655;662.45;1682.68;1111201.66;660.38
15.07.2016;660.3;670.01;658.41;664.6;3228.34;2143543.85;663.98
14.07.2016;652.24;664.93;650.01;659.1;2392.43;1576629.17;659.01
13.07.2016;663.52;669.97;651.03;655.06;6573.2;4342194.79;660.59
12.07.2016;649.32;678;646.05;663.52;4288.08;2839548.15;662.2
11.07.2016;648.77;659.6;639.31;649.32;2978.14;1932846.2;649.01
10.07.2016;647.78;650.88;636.8;648.76;2313.35;1490267.22;644.2
09.07.2016;663;663.99;626;647.78;6180.15;3994710.13;646.38
08.07.2016;638.89;665.99;635;663;6579.39;4252992.55;646.41
07.07.2016;674.7;678.43;605.5;638.19;12686.98;8058820.66;635.2
06.07.2016;669.09;679;662.13;674.7;3590.61;2412784.3;671.97
05.07.2016;678.74;682.36;661.57;668.94;3112.73;2092573.28;672.26
04.07.2016;659.77;682.35;640.1;680.35;4290.13;2870919.4;669.19
03.07.2016;702.48;704.99;646.29;658.27;7320.32;4906039.38;670.19
02.07.2016;674.55;704.93;672.74;702.48;5506.04;3811458.84;692.23
01.07.2016;666.33;684.1;659.71;674.86;6432.92;4339245.16;674.54
30.06.2016;635.91;671.22;628.06;667.95;7479.79;4895853.65;654.54
29.06.2016;644.33;645;621.09;634.11;9132.48;5770127.8;631.82
28.06.2016;657.49;665.51;635.5;646.08;5478.36;3544743.28;647.04
27.06.2016;630.16;658;618.03;657.5;8668.59;5537101.67;638.75
26.06.2016;658.8;662.9;608.64;630.16;5838.15;3672917.74;629.12
25.06.2016;660.76;684.45;639.4;659.86;6576.67;4375554.65;665.31
24.06.2016;622.59;683.88;620.82;661.71;16163.8;10563018.79;653.5
23.06.2016;600.51;632.67;1.5;624.91;24334.08;14297065.04;587.53
22.06.2016;665.36;677.63;588.03;601.3;16456.41;10462967.07;635.8
21.06.2016;725;728.18;625;667.54;33056.29;22257644.3;673.33
20.06.2016;759.12;763.99;723.4;730.85;7975.97;5917339.46;741.9
19.06.2016;753.47;764.93;740.11;761.44;2617.28;1975322.23;754.72
18.06.2016;745;778.85;723.02;754.83;5903.47;4450980.86;753.96
17.06.2016;767.37;778.7;706.37;745.22;14687.27;10852879.64;738.93
16.06.2016;695;773.07;689.8;766.62;17946.83;13252865.15;738.45
15.06.2016;685.25;695.77;672.12;695;5783.92;3958020.17;684.31
14.06.2016;703.81;704.5;655;685.25;10633.44;7245671;681.4
13.06.2016;668.73;725;655.02;704.49;17280.6;11948752.18;691.45
12.06.2016;610;683.02;603.21;672.13;14138.31;9092256.26;643.09
11.06.2016;576.53;611;575.93;610;4000.07;2358616.31;589.64
10.06.2016;576.06;580;572;578.01;3458.56;1992463.06;576.1
09.06.2016;583.01;583.1;572.97;575.01;3770.72;2173852.25;576.51
08.06.2016;577.48;584.25;571.86;583.03;3259.15;1885760.65;578.6
07.06.2016;584.12;594.44;563;577.54;6705.92;3889183.61;579.96
06.06.2016;573.8;586.02;573.8;584.5;4465.52;2599632.51;582.16
05.06.2016;573.5;582;566;573.91;5415.93;3104174.12;573.16
04.06.2016;569.93;588.71;558.54;573.8;6216.63;3569801.44;574.23
03.06.2016;538;578.37;535.74;569.94;8801.77;4918798.57;558.84
02.06.2016;536.95;540;529.13;538;3939.35;2110034.27;535.63
01.06.2016;532.37;542.87;525.49;536.95;5456.94;2918877.94;534.89
31.05.2016;527.64;548.5;515;531.84;12071.18;6465589.82;535.62
30.05.2016;517.6;535;510.01;527.64;6074.77;3195665.51;526.05
29.05.2016;522.13;540;485;517.84;8215.67;4268564.36;519.56
